Fecha,Localidad,Canal,Competidor,Ventas_Valor,Retraso_Logistico_Min
2023-01-01,Suba,Tradicional,Margarita,1000.0,5
2023-01-01,Suba,Tradicional,Super Ricas,400.0,5
2023-01-01,Suba,Tradicional,Marcas_Propias_D1,400.0,5
2023-01-01,Suba,Tradicional,Pringles,400.0,5
2023-01-01,Suba,Moderno,Margarita,1000.0,0
2023-01-01,Suba,Moderno,Super Ricas,400.0,0
2023-01-01,Suba,Moderno,Marcas_Propias_D1,600.0,0
2023-01-01,Suba,Moderno,Pringles,400.0,0
2023-01-01,Kennedy,Tradicional,Margarita,1000.0,14
2023-01-01,Kennedy,Tradicional,Super Ricas,400.0,14
2023-01-01,Kennedy,Tradicional,Marcas_Propias_D1,400.0,14
2023-01-01,Kennedy,Tradicional,Pringles,400.0,14
2023-01-01,Kennedy,Moderno,Margarita,850.0,59
2023-01-01,Kennedy,Moderno,Super Ricas,340.0,59
2023-01-01,Kennedy,Moderno,Marcas_Propias_D1,510.0,59
2023-01-01,Kennedy,Moderno,Pringles,340.0,59
2023-01-01,Engativá,Tradicional,Margarita,900.0,15
2023-01-01,Engativá,Tradicional,Super Ricas,400.0,15
2023-01-01,Engativá,Tradicional,Marcas_Propias_D1,400.0,15
2023-01-01,Engativá,Tradicional,Pringles,400.0,15
2023-01-01,Engativá,Moderno,Margarita,1000.0,4
2023-01-01,Engativá,Moderno,Super Ricas,400.0,4
2023-01-01,Engativá,Moderno,Marcas_Propias_D1,600.0,4
2023-01-01,Engativá,Moderno,Pringles,400.0,4
2023-01-01,Bosa,Tradicional,Margarita,1000.0,16
2023-01-01,Bosa,Tradicional,Super Ricas,400.0,16
2023-01-01,Bosa,Tradicional,Marcas_Propias_D1,400.0,16
2023-01-01,Bosa,Tradicional,Pringles,400.0,16
2023-01-01,Bosa,Moderno,Margarita,1000.0,14
2023-01-01,Bosa,Moderno,Super Ricas,400.0,14
2023-01-01,Bosa,Moderno,Marcas_Propias_D1,600.0,14
2023-01-01,Bosa,Moderno,Pringles,400.0,14
2023-01-01,Usaquén,Tradicional,Margarita,850.0,40
2023-01-01,Usaquén,Tradicional,Super Ricas,340.0,40
2023-01-01,Usaquén,Tradicional,Marcas_Propias_D1,340.0,40
2023-01-01,Usaquén,Tradicional,Pringles,340.0,40
2023-01-01,Usaquén,Moderno,Margarita,850.0,47
2023-01-01,Usaquén,Moderno,Super Ricas,340.0,47
2023-01-01,Usaquén,Moderno,Marcas_Propias_D1,510.0,47
2023-01-01,Usaquén,Moderno,Pringles,340.0,47
2023-01-01,Chapinero,Tradicional,Margarita,850.0,32
2023-01-01,Chapinero,Tradicional,Super Ricas,340.0,32
2023-01-01,Chapinero,Tradicional,Marcas_Propias_D1,340.0,32
2023-01-01,Chapinero,Tradicional,Pringles,340.0,32
2023-01-01,Chapinero,Moderno,Margarita,850.0,34
2023-01-01,Chapinero,Moderno,Super Ricas,340.0,34
2023-01-01,Chapinero,Moderno,Marcas_Propias_D1,510.0,34
2023-01-01,Chapinero,Moderno,Pringles,340.0,34
2023-01-02,Suba,Tradicional,Margarita,765.0,35
2023-01-02,Suba,Tradicional,Super Ricas,340.0,35
2023-01-02,Suba,Tradicional,Marcas_Propias_D1,340.0,35
2023-01-02,Suba,Tradicional,Pringles,340.0,35
2023-01-02,Suba,Moderno,Margarita,900.0,20
2023-01-02,Suba,Moderno,Super Ricas,400.0,20
2023-01-02,Suba,Moderno,Marcas_Propias_D1,600.0,20
2023-01-02,Suba,Moderno,Pringles,400.0,20
2023-01-02,Kennedy,Tradicional,Margarita,850.0,46
2023-01-02,Kennedy,Tradicional,Super Ricas,340.0,46
2023-01-02,Kennedy,Tradicional,Marcas_Propias_D1,340.0,46
2023-01-02,Kennedy,Tradicional,Pringles,340.0,46
2023-01-02,Kennedy,Moderno,Margarita,1000.0,18
2023-01-02,Kennedy,Moderno,Super Ricas,400.0,18
2023-01-02,Kennedy,Moderno,Marcas_Propias_D1,600.0,18
2023-01-02,Kennedy,Moderno,Pringles,400.0,18
2023-01-02,Engativá,Tradicional,Margarita,1000.0,8
2023-01-02,Engativá,Tradicional,Super Ricas,400.0,8
2023-01-02,Engativá,Tradicional,Marcas_Propias_D1,400.0,8
2023-01-02,Engativá,Tradicional,Pringles,400.0,8
2023-01-02,Engativá,Moderno,Margarita,1000.0,13
2023-01-02,Engativá,Moderno,Super Ricas,400.0,13
2023-01-02,Engativá,Moderno,Marcas_Propias_D1,600.0,13
2023-01-02,Engativá,Moderno,Pringles,400.0,13
2023-01-02,Bosa,Tradicional,Margarita,850.0,47
2023-01-02,Bosa,Tradicional,Super Ricas,340.0,47
2023-01-02,Bosa,Tradicional,Marcas_Propias_D1,340.0,47
2023-01-02,Bosa,Tradicional,Pringles,340.0,47
2023-01-02,Bosa,Moderno,Margarita,850.0,59
2023-01-02,Bosa,Moderno,Super Ricas,340.0,59
2023-01-02,Bosa,Moderno,Marcas_Propias_D1,510.0,59
2023-01-02,Bosa,Moderno,Pringles,340.0,59
2023-01-02,Usaquén,Tradicional,Margarita,1000.0,13
2023-01-02,Usaquén,Tradicional,Super Ricas,400.0,13
2023-01-02,Usaquén,Tradicional,Marcas_Propias_D1,400.0,13
2023-01-02,Usaquén,Tradicional,Pringles,400.0,13
2023-01-02,Usaquén,Moderno,Margarita,1000.0,27
2023-01-02,Usaquén,Moderno,Super Ricas,400.0,27
2023-01-02,Usaquén,Moderno,Marcas_Propias_D1,600.0,27
2023-01-02,Usaquén,Moderno,Pringles,400.0,27
2023-01-02,Chapinero,Tradicional,Margarita,1000.0,4
2023-01-02,Chapinero,Tradicional,Super Ricas,400.0,4
2023-01-02,Chapinero,Tradicional,Marcas_Propias_D1,400.0,4
2023-01-02,Chapinero,Tradicional,Pringles,400.0,4
